,, Total revenue ," $89,611 ",,,,Code,%Revenue,Nb Items,%Items
,, Nb of items ,18,,,,A,40%,,
Rank ,Etiquetas de fila,Suma de total_amount,%item,%Revenue,ABC,,B,80%,,
1,Tomatoes," $5,967.83 ",6%,7%,A,,C,>80%,,
2,Potatoes," $5,790.86 ",11%,13%,A,,,,,
3,Chicken Breast," $5,625.15 ",17%,19%,A,,,,,
4,Bread," $5,619.04 ",22%,26%,A,,,,,
5,Eggs," $5,426.07 ",28%,32%,A,,,,,
6,Bananas," $5,189.23 ",33%,38%,A,,,,,
7,Onions," $5,164.67 ",39%,43%,B,,,,,
8,Cereal," $5,149.99 ",44%,49%,B,,,,,
9,Orange Juice," $5,041.46 ",50%,55%,B,,,,,
10,Apples," $5,017.11 ",56%,60%,B,,,,,
11,Salmon," $4,892.62 ",61%,66%,B,,,,,
12,Pasta," $4,888.46 ",67%,71%,B,,,,,
13,Yogurt," $4,662.66 ",72%,76%,B,,,,,
14,Rice," $4,654.17 ",78%,82%,C,,,,,
15,Cheese," $4,602.66 ",83%,87%,C,,,,,
16,Milk," $4,128.05 ",89%,91%,C,,,,,
17,Ground Beef," $4,044.83 ",94%,96%,C,,,,,
18,Carrots," $3,746.28 ",100%,100%,C,,,,,
19,,,106%,100%,-,,,,,
20,,,111%,100%,-,,,,,
21,,,117%,100%,-,,,,,
22,,,122%,100%,-,,,,,
23,,,128%,100%,-,,,,,
24,,,133%,100%,-,,,,,
25,,,139%,100%,-,,,,,
26,,,144%,100%,-,,,,,
27,,,150%,100%,-,,,,,
28,,,156%,100%,-,,,,,
29,,,161%,100%,-,,,,,
30,,,167%,100%,-,,,,,
31,,,172%,100%,-,,,,,
32,,,178%,100%,-,,,,,
33,,,183%,100%,-,,,,,
34,,,189%,100%,-,,,,,
35,,,194%,100%,-,,,,,
36,,,200%,100%,-,,,,,
37,,,206%,100%,-,,,,,
38,,,211%,100%,-,,,,,
39,,,217%,100%,-,,,,,
40,,,222%,100%,-,,,,,
41,,,228%,100%,-,,,,,
42,,,233%,100%,-,,,,,
43,,,239%,100%,-,,,,,
44,,,244%,100%,-,,,,,
45,,,250%,100%,-,,,,,
46,,,256%,100%,-,,,,,
47,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
